global_batch,per_device_batch,sequence_length,aot_status,benchmark_status,aot_wall_sec,aot_cost_usd,aot_reported_argument_gib_per_chip,aot_reported_output_gib_per_chip,aot_reported_temporary_gib_per_chip,aot_reported_alias_gib_per_chip,aot_reported_net_output_gib_per_chip,aot_reported_total_gib_per_chip,aot_reported_total_percent_of_limit,aot_reported_host_temporary_gib,oom_required_temporary_gib_per_chip,oom_available_hbm_gib_per_chip,runtime_hbm_snapshot_gib_per_chip,runtime_hbm_limit_gib_per_chip,runtime_hbm_snapshot_percent_of_limit,command_wall_sec,runtime_startup_compile_overhead_sec,first_step_sec,steady_step_sec,total_tokens_per_sec,tflops_per_sec_per_device,run_cost_usd,total_shape_cost_usd,short_run_cost_per_million_tokens_usd,steady_cost_per_million_tokens_usd
4,0.5,256,fit,measured,30.375371416000007,0.08100099044266669,5.619503498077393,5.619471073150635,2.606779098510742,5.619465351104736,5.7220458984375e-06,8.226288318634033,52.230402023073225,0.0,,,5.64,15.75,35.80952380952381,32.1136716059998,30.7505236059998,0.708666,0.097925,10457.036447507953,31.841838610492548,0.08563645761599946,0.16663744805866615,20.341485358723894,0.2550117024123186
8,1.0,256,fit,measured,30.938955434999798,0.08250388115999946,5.619503498077393,5.619471073150635,2.739898681640625,5.619465351104736,5.7220458984375e-06,8.359407901763916,53.07560572548518,0.0,,,5.64,15.75,35.80952380952381,33.611200556000085,31.944519556000085,0.724671,0.15373124999999999,13322.485282062362,40.567174875171,0.08962986814933356,0.172133749309333,10.50621028499347,0.20016285326710892
16,2.0,256,fit,measured,30.415555469000083,0.08110814791733355,5.619541645050049,5.619471073150635,3.383638858795166,5.619465351104736,5.7220458984375e-06,9.003186225891113,57.163087148515004,0.0,,,5.65,15.75,35.87301587301587,32.58854902200005,30.25062202200005,0.731262,0.26664425,15361.354127238592,46.775562217220894,0.08690279739200013,0.1680109453093337,5.127287149332693,0.17359580702186675
32,4.0,256,fit,measured,28.562000872,0.07616533565866665,5.619617938995361,5.619471073150635,3.7288060188293457,5.619465351104736,5.7220458984375e-06,9.348429679870605,59.35510907854353,0.0,,,5.65,15.75,35.87301587301587,38.34790014200007,34.615888142000074,0.757288,0.494642,16561.50892143307,50.43005223035044,0.10226106704533353,0.17842640270400018,2.7225708420410184,0.16101592429271958
64,8.0,256,fit,measured,33.529952631000015,0.08941320701600004,5.619770526885986,5.619471073150635,4.982117176055908,5.619465351104736,5.7220458984375e-06,10.601893424987793,67.31360904754155,0.0,,,5.65,15.75,35.87301587301587,42.926101189000065,36.26144918900006,0.7482,0.9849345,16634.61794297651,50.652670337941714,0.11446960317066683,0.20388281018666687,1.555502397054038,0.16030826050877772
128,16.0,256,fit,measured,30.830857140000035,0.08221561904000009,5.620075702667236,5.619471073150635,7.367042541503906,5.619465351104736,5.7220458984375e-06,12.987123966217041,82.45792994423518,0.0,,,5.65,15.75,35.87301587301587,51.92286140600004,39.36135640600004,0.732372,1.97081775,16626.601025942415,50.6282587008938,0.13846096374933345,0.22067658278933355,0.8418143569539397,0.1603855570062623
256,32.0,256,fit,measured,32.403705932999856,0.08640988248799962,5.620686054229736,5.619471073150635,11.74970817565918,5.619465351104736,5.7220458984375e-06,17.370399951934814,110.28825366307818,0.0,,,5.65,15.75,35.87301587301587,69.81831120000015,44.82808420000015,0.752352,4.038601,16227.402087565642,49.41269172519464,0.18618216320000042,0.27259204568800005,0.5199280656585694,0.1643310896147707
512,64.0,256,oom,,26.579148625000016,0.07087772966666671,,,,,,,,,18.43,15.75,,15.75,,,,,,,,,0.07087772966666671,,
